Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
"Trent Boult
RR",RR,14,16,5,3,12,7,16,87.5,0,0,2,0
"Mitchell Santner
CSK",CSK,14,3,3,0,11,4.67,17,82.35,0,0,1,0
"Gerald Coetzee
MI",MI,14,10,5,1,8,3.5,22,63.63,0,0,0,1
"Sai Kishore
GT",GT,13,5,2,1,13,13,6,216.66,0,0,0,2
"Harshal Patel
PBKS",PBKS,13,14,4,1,12,4.33,19,68.42,0,0,1,1
"Mohammed Siraj
RCB",RCB,12,14,3,1,12,6,8,150,0,0,0,2
"Darshan Nalkande
GT",GT,12,3,1,0,12,12,11,109.09,0,0,0,1
"Jasprit Bumrah
MI",MI,12,13,4,4,8*,-,12,100,0,0,1,0
"Umesh Yadav
GT",GT,12,7,2,1,10*,12,15,80,0,0,0,1
"Avesh Khan
RR",RR,10,16,3,3,7*,-,5,200,0,0,1,0
"Lalit Yadav
DC",DC,10,2,2,0,7,5,12,83.33,0,0,1,0
"Luke Wood
MI",MI,9,2,1,1,9*,-,3,300,0,0,0,1
"Arshin Atul Kulkarni
LSG",LSG,9,2,2,0,9,4.5,8,112.5,0,0,2,0
"Mitchell Starc
KKR",KKR,9,14,5,3,6*,4.5,11,81.81,0,0,1,0
"Abhinav Manohar
GT",GT,9,2,2,0,8,4.5,16,56.25,0,0,1,0
"Donovan Ferreira
RR",RR,8,2,2,0,7,4,11,72.72,0,0,0,0
"Vijayakanth Viyaskanth
SRH",SRH,7,3,1,1,7*,-,5,140,0,0,0,0
"Spencer Johnson
GT",GT,6,5,3,3,5*,-,7,85.71,0,0,1,0
"Anmolpreet Singh
SRH",SRH,5,2,2,0,5,2.5,6,83.33,0,0,1,0
"Noor Ahmad
GT",GT,5,10,4,2,4,2.5,9,55.55,0,0,1,0
"Arshdeep Singh
PBKS",PBKS,4,14,1,0,4,4,3,133.33,0,0,1,0
"Akash Madhwal
MI",MI,4,5,1,1,4*,-,5,80,0,0,0,0
"Matthew Wade
GT",GT,4,2,1,0,4,4,6,66.66,0,0,0,0
"Ravi Bishnoi
LSG",LSG,4,14,3,0,2,1.33,6,66.66,0,0,0,0
"Anrich Nortje
DC",DC,4,6,2,0,4,2,8,50,0,0,0,0
"Mohit Sharma
GT",GT,4,12,3,1,4,2,15,26.66,0,0,0,0
"Anukul Roy
KKR",KKR,3,4,1,1,3*,-,3,100,0,0,0,0
"Reece Topley
RCB",RCB,3,4,1,1,3*,-,6,50,0,0,0,0
"Kumar Kushagra
DC",DC,3,4,3,0,2,1,7,42.85,0,0,0,0
"Mukesh Kumar
DC",DC,3,10,2,1,3,3,9,33.33,0,0,0,0
"Ricky Bhui
DC",DC,3,2,2,0,3,1.5,9,33.33,0,0,0,0
"Mohsin Khan
LSG",LSG,2,9,1,0,2,2,1,200,0,0,0,0
"Richard Gleeson
CSK",CSK,2,2,1,1,2*,-,2,100,0,0,0,0
"Jhye Richardson
DC",DC,2,1,1,0,2,2,2,100,0,0,0,0
"Anshul Kamboj
MI",MI,2,3,1,1,2*,-,2,100,0,0,0,0
"Akash Deep
RCB",RCB,2,1,1,1,2*,-,2,100,0,0,0,0
"Shivam Singh
PBKS",PBKS,2,1,1,1,2*,-,3,66.66,0,0,0,0
"Naveen-Ul-Haq
LSG",LSG,2,10,3,3,2*,-,4,50,0,0,0,0
"B R Sharath
GT",GT,2,1,1,0,2,2,5,40,0,0,0,0
"Vaibhav Arora
KKR",KKR,1,10,2,2,1*,-,1,100,0,0,0,0
"Shams Mulani
MI",MI,1,2,1,1,1*,-,1,100,0,0,0,0
"Lockie Ferguson
RCB",RCB,1,7,1,0,1,1,1,100,0,0,0,0
"Lizaad Williams
DC",DC,1,2,1,1,1*,-,2,50,0,0,0,0
"Keshav Maharaj
RR",RR,1,2,1,0,1,1,2,50,0,0,0,0
"Manav Suthar
GT",GT,1,1,1,0,1,1,2,50,0,0,0,0
